timestamp,distance
0,40.4
200,38.6
400,39.3
600,39.2
800,40.7
1000,40.5
1200,41.2
1400,38.8
1600,39.8
1800,38.6
2000,39.2
2200,40.0
2400,38.6
2600,39.1
2800,40.4
3000,40.1
3200,39.2
3400,40.3
3600,40.9
3800,38.5
4000,40.9
4200,40.6
4400,39.5
4600,39.0
4800,41.4
5000,39.5
5200,38.8
5400,38.8
5600,41.0
5800,40.3
6000,40.9
6200,40.7
6400,40.1
6600,41.4
6800,39.6
7000,40.2
7200,41.0
7400,40.4
7600,41.1
7800,40.2
8000,40.6
8200,38.6
8400,39.2
8600,39.4
8800,38.7
9000,39.2
9200,38.8
9400,39.3
9600,40.4
9800,39.6
10000,39.6
10200,39.1
10400,39.3
10600,41.3
10800,40.4
11000,40.3
11200,39.0
11400,40.7
11600,39.0
11800,39.6
12000,41.5
12200,40.4
12400,40.2
12600,40.6
12800,41.0
13000,40.8
13200,39.2
13400,38.6
13600,39.4
13800,39.3
14000,39.1
14200,41.3
14400,41.1
14600,39.4
14800,40.5
15000,39.7
15200,41.2
15400,39.9
15600,39.3
15800,39.2
16000,40.2
16200,39.3
16400,40.3
16600,41.2
16800,39.7
17000,39.2
17200,41.5
17400,40.0
17600,38.8
17800,38.6
18000,38.8
18200,40.4
18400,40.9
18600,39.8
18800,38.7
19000,39.6
19200,41.5
19400,40.1
19600,41.4
19800,41.1
20000,38.5
20200,40.7
20400,40.5
20600,40.1
20800,39.3
21000,40.4
21200,38.8
21400,39.8
21600,39.9
21800,41.4
22000,41.1
22200,39.3
22400,40.0
22600,39.0
22800,41.2
23000,41.1
23200,39.4
23400,40.4
23600,40.3
23800,39.0
24000,40.8
24200,40.1
24400,40.8
24600,40.1
24800,38.5
25000,39.5
25200,38.6
25400,41.3
25600,41.1
25800,41.0
26000,39.4
26200,38.7
26400,41.1
26600,41.3
26800,38.8
27000,40.0
27200,38.7
27400,40.8
27600,40.8
27800,38.9
28000,39.9
28200,40.1
28400,39.3
28600,41.1
28800,39.8
29000,39.1
29200,40.1
29400,40.7
29600,39.1
29800,39.4
